Estate Name,Latitude,Longitude
Kampong Ubi Industrial Estate,103.89285643478262,1.3325907826086958
Clementi West LogisPark,103.76291117647058,1.3253470294117646
Kampong Ubi Industrial Estate,103.89453616666667,1.32940025
St Michael's Industrial Estate,103.8582610909091,1.3284845454545453
Yew Tee Industrial Estate,103.75464389655171,1.4017857586206897
Kampong Ampat Industrial Estate,103.88293603846154,1.3360375384615384
Toa Payoh North Industrial Estate,103.84752216666666,1.3432028888888887
Tai Seng Industrial Estate,103.89150439393939,1.3388362424242424
Tai Seng Industrial Estate,103.89387430232559,1.3373531627906976
Bishan Industrial Estate,103.8412857037037,1.3475317777777778
Tg Rhu Industrial Estate,103.882231,1.301405
Tampines Housing Estate,103.96193466666666,1.3417183333333333
Ang Mo Kio Industrial Estate,103.86558535714286,1.37752075
Queenstown Housing Estate,103.80145092307693,1.2970467692307692
Changi North Industrial Estate,103.97703733333333,1.357545166666667
Tampines Industrial Estate - IGLS,103.93473569565217,1.3719125652173914
International Business Park,103.74849909333332,1.3269450266666667
Tanglin Halt Industrial Estate,103.83797629629629,1.301994074074074
Kallang Basin Industrial Estate,103.86480978672986,1.3136637251184833
Senoko Industrial Estate,103.80566371842106,1.4665324526315788
Jurong Industrial Estate Others,103.69159005882354,1.363228794117647
Ang Mo Kio Industrial Estate,103.84935795652174,1.3888057391304347
Ang Mo Kio Industrial Estate,103.85648646428571,1.3605259285714286
Woodlands Wafer Fab Park,103.7658283828125,1.4334721015625
Changi International LogisPark (South),103.95258103278688,1.333066606557377
Tukang Innovation Park,103.7155485625,1.32470825
Geylang Bahru Industrial Estate,103.87304696999999,1.3205746500000002
Tampines LogisPark,103.90956738461539,1.3695918538461538
Yishun Industrial Park A,103.83869048896295,1.440958887185185
Kallang Basin Industrial Estate,103.86235411307138,1.3152659422614272
Pasir Ris Wafer Fab Park,103.93035061946902,1.3801922477876107
Woodlands Industrial Park E,103.79680525433598,1.4499673463733445
Marsiling Industrial Estate,103.77898020478301,1.4435029694088721
Science Park III,103.78451530740742,1.2854494314814815
Bukit Batok Industrial Park A,103.75267594795177,1.3420217744664784
Alexandra Village Industrial Estate,103.79636843438914,1.305374221719457
Sungei Kadut Industrial Estate,103.74719610526317,1.4163571954887217
Kampong Ubi Industrial Estate,103.89798400000001,1.3339232857142858
Bulim Industrial Estate,103.70716520163487,1.3569478038147138
Sembawang Industrial Estate,103.8167740421456,1.442580398467433
Sembawang Industrial Estate,103.81346829885058,1.4444192413793104
Sembawang Industrial Estate,103.79998717412936,1.430417089552239
Lorong Halus Industrial Estate,103.90553598555957,1.3725070324909747
Redhill Industrial Estate,103.81368290322581,1.2838350322580647
Telok Blangah Industrial Estate,103.80683549056604,1.282970283018868
Sembawang Industrial Estate,103.82086764130436,1.4397205
Tampines Advanced Display Park,103.92871311290322,1.3622584193548386
Chai Chee Industrial Estate,103.91985066666666,1.3223308666666669
Kaki Bukit Industrial Estate,103.904153,1.3329382580645162
Ayer Rajah Industrial Estate,103.78764615151515,1.2956090707070707
Tukang Innovation Park,103.70974875,1.3272994166666667
one-north,103.78933989037434,1.2994496310160428
Geylang East Industrial Estate,103.89050673809524,1.3185624047619047
Punggol Digital District,103.90656596831955,1.4130021542699727
Jurong Island,103.70335019615521,1.2715089659413352
Changi South Industrial Estate,103.9723745,1.337307
Tuas Industrial Estate,103.64339748120301,1.3208744586466166
Changi International LogisPark (North),103.9734378888889,1.348814
Alexandra Village Industrial Estate,103.81098283143679,1.2895149011262177
Jalan Bahar CleanTech Park,103.69320996428571,1.3534744107142858
Seletar Aerospace Park,103.86437341157611,1.4122573736486088
Toa Payoh West Industrial Estate,103.84165233333334,1.3349612222222222
Jurong West District,103.70481152215189,1.3580994651898735
Parks and Gardens,103.70781757723577,1.3183061544715446
Mandai Industrial Estate,103.75698855555555,1.410048488888889
Tuas Biomedical Park,103.6232336,1.2765224
Tampines Wafer Fab Park,103.92580307086614,1.3730726062992127
Woodlands Industrial Park D,103.76410992982456,1.4293847368421053
Tanglin Halt Industrial Estate,103.79274719607844,1.306359843137255
Tuas Western Coast,103.63032208749999,1.3301457333333333
Woodlands Industrial Park E,103.80106542857143,1.4536645714285714
Tuas Biomedical Park,103.63674921978021,1.3020244835164836
Eunos Industrial Estate,103.8903250595238,1.3208995119047617
Jurong Island,103.68246880000001,1.28916316
Tuas Biomedical Park,103.62755638095238,1.2872450952380952
Ang Mo Kio Industrial Park 1,103.85589616666667,1.3582155357142855
Bedok Industrial Park C,103.91685392857143,1.3375299285714284
Serangoon North Industrial Estate,103.87199731914893,1.3755069787234042
Parks and Gardens,103.72745825773195,1.3380854639175257
Jurong Island,103.69045987301587,1.2969170571428572
Fingerone @Tuas View Extension,103.63709186885245,1.2708923934426228
Tuas View Industrial Estate,103.6131082866755,1.2580488446576583
Kallang Basin Industrial Estate,103.87631514285715,1.31871625
North Coast Wafer Fab Park,103.79198036363637,1.4551357954545454
Paya Lebar iPark,103.88913780327869,1.3360475245901637
Jurong Island,103.68638292857143,1.2617688571428574
Tampines Industrial Drive - IGLS,103.92059948571428,1.3780087
Bedok Industrial Estate,103.917315,1.3302306400000001
Jurong Industrial Estate Others,103.73873006382978,1.3355042872340426
Toh Guan LogisPark,103.74917034375,1.33467990625
Woodlands North Coast,103.785684,1.451147650793651
Jurong Industrial Estate Others,103.69479057709252,1.3223341894273128
Kolam Ayer Industrial Estate,103.87410510069444,1.3268822569444443
Jurong Industrial Estate Others,103.70309613636364,1.3329908545454545
Changi International LogisPark (North),103.97029411538462,1.352920153846154
