Estate Name,Latitude,Longitude
Tiong Bahru Industrial Estate,103.82202097222222,1.2806520833333335
Toh Tuck LogisPark,103.75828800653595,1.3323663137254902
Fingerone @Tuas View Extension,103.64745762222223,1.2790365185185184
Jurong Island,103.69121245,1.2908442
Changi Business Park,103.9660957121212,1.3394025757575758
Depot Lane Industrial Estate,103.8123133,1.28225002
Jurong Industrial Estate Others,103.69479921875,1.362697703125
Medtech Hub @Jurong Industrial Estate,103.7102394,1.3253581333333335
Tampines High-Tech Park @Tampines,103.92867729508197,1.3750981147540984
Tampines Housing Estate,103.93177863380282,1.3586310845070422
Changi North Industrial Estate,103.96892759504132,1.3501754628099174
Woodlands Industrial Estate,103.78331060000001,1.4399798
Woodlands East Industrial Estate,103.80720724157304,1.4531232191011236
Woodlands Industrial Estate,103.79645078125,1.44911271875
Jurong East Industrial Estate,103.74596445,1.3351305500000001
Airport Logistics Park of Singapore,104.00147517475729,1.3786480873786409
Sunview Data Centre Park,103.70224346938775,1.3173635102040817
North Coast Wafer Fab Park,103.79218718181818,1.461181
Tampines Industrial Estate,103.93275956,1.3634988799999999
Kampong Ampat Industrial Estate,103.8828743,1.3333856000000002
Ang Mo Kio Industrial Park 2,103.86636337130851,1.374728566833059
Jurong Industrial Estate Others,103.67719433891307,1.299756046825211
Toa Payoh Industrial Estate,103.853674534107,1.3373194138901108
Tampines Industrial Park A,103.94265792045454,1.3404172954545455
Tuas View Industrial Estate,103.63547872234764,1.2982520857787812
Joo Seng Industrial Estate,103.88329660408338,1.337885196058221
Kampong Ampat Industrial Estate,103.88312029761904,1.3331183556547619
Kaki Bukit Industrial Estate,103.905002636232,1.3386533350088787
Defu Industrial Estate,103.89620282746245,1.3483962224426875
Bedok Industrial Park A & B,103.93008984782608,1.3192849565217393
Bedok Industrial Park E,103.9466342742169,1.3365542569465552
Sin Ming Industrial Estate,103.8400942771739,1.3583687635869566
Sembawang Industrial Estate,103.80487646916299,1.4357271211453744
Loyang Industrial Estate,103.97270541267206,1.3818588643652963
Jurong Island,103.70281566101694,1.2852756150121067
Woodlands Industrial Estate,103.79710568,1.44842334
Tampines Industrial Estate,103.9318305,1.3728860735294117
Tuas Biomedical Park,103.62924756603775,1.293243245283019
Kampong Ubi Industrial Estate,103.89534114256115,1.3310900819069418
Eunos Industrial Estate,103.89755446388888,1.3214326966666665
Tanglin Halt Industrial Estate,103.79520044444445,1.3044184074074074
Admiralty East Industrial Estate,103.84085399604743,1.441166
Changi International LogisPark (South),103.9617992837953,1.331249046055437
Jurong Island,103.74972070834538,1.236404677375784
Sembawang Industrial Estate,103.80838088288289,1.440079774774775
Kranji Industrial Estate,103.75450513123249,1.4339206264705884
Jurong Industrial Estate Others,103.71759561965781,1.3054679076060212
Chai Chee Industrial Estate,103.92107952769244,1.326037351126472
Ang Mo Kio Industrial Park 3,103.84767100355657,1.3876870653303823
