Postal Code,Latitude,Longitude
540330,1.39685,103.889247
543215,1.38977,103.892787
552542,1.373684,103.871417
574424,1.351845,103.836054
768930,1.445183,103.837963
769092,1.417383,103.83298
797455,1.418331,103.896448
619415,1.320788,103.729751
821312,1.410819,103.900372
449269,1.301191,103.905114
449269,1.301191,103.905114
120352,1.314279,103.771351
640544,1.352394,103.71576
120108,1.322124,103.770266
570222,1.358035,103.848208
529286,1.354365,103.960042
757177,1.45075,103.796847
200809,1.308327,103.862006
619392,1.320484,103.726723
619392,1.320484,103.726723
730768,1.445623,103.798141
619392,1.320484,103.726723
729937,1.406312,103.760562
486038,1.334325,103.962389
608538,1.319238,103.732882
757322,1.451325,103.791095
160052,1.287083,103.84158
545078,1.392094,103.89498
758459,1.441767,103.824495
59413,1.284999,103.844697
648886,1.33983,103.706461
510259,1.366454,103.964599
90109,1.273929,103.825311
650373,1.358946,103.750366
680410,1.380628,103.74152
460537,1.331773,103.924236
528765,1.372102,103.932
534821,1.337485,103.887004
534846,1.338882,103.886109
577729,1.373079,103.829631
589831,1.336615,103.786969
636906,1.270677,103.636145
637640,1.298951,103.627518
640492,1.350112,103.724599
649486,1.348785,103.703416
678077,1.360124,103.767542
729760,1.410722,103.768396
739503,1.435945,103.754008
739522,1.430694,103.759237
757178,1.451221,103.797853
757444,1.461389,103.818111
758498,1.453437,103.832526
799473,1.396574,103.872852
540266,1.381997,103.897031
608596,1.336418,103.751807
619336,1.308593,103.722317
637589,1.313358,103.627437
638118,1.310694,103.63019
638368,1.328886,103.67713
639926,1.313322,103.627917
729939,1.407543,103.758095
750463,1.455512,103.81454
751406,1.452736,103.817249
820108,1.396526,103.908851
820261,1.405414,103.896824
670445,1.38358,103.770768
670205,1.37343,103.773924
760761,1.425398,103.833259
520506,1.355902,103.945912
510776,1.374549,103.937088
760418,1.424899,103.84725
461025,1.32329,103.92415
461539,1.332402,103.925501
460069,1.31935,103.943632
531159,1.352091,103.879315
540263,1.394848,103.896042
730883,1.442753,103.790548
560161,1.37424,103.839489
537846,1.345608,103.882696
797601,1.416908,103.896019
637285,1.313965,103.625765
229594,1.307562,103.829352
608549,1.3332,103.74317
309426,1.316177,103.837815
18972,1.283559,103.858506
289504,1.331665,103.807034
367872,1.333123,103.878842
388724,1.313469,103.877005
389290,1.312089,103.877389
389344,1.312721,103.878642
389456,1.313289,103.885153
389797,1.313576,103.881878
415920,1.338097,103.909947
437096,1.306086,103.89615
458322,1.315749,103.925857
